2026-04-24 19:32:53 | INFO | a_stock | 日志初始化完成：run_id=20260424_193253, log_dir=logs, reject_file=logs/rejects_20260424_193253.csv, raw_bad_rows_file=logs/raw_bad_rows_20260424_193253.jsonl
2026-04-24 19:32:53 | INFO | a_stock | 本轮 run_id=20260424_193253
2026-04-24 19:32:53 | INFO | a_stock | 日志初始化完成：run_id=20260424_193253, log_dir=logs, reject_file=logs/rejects_20260424_193253.csv, raw_bad_rows_file=logs/raw_bad_rows_20260424_193253.jsonl
2026-04-24 19:32:53 | INFO | a_stock | 本轮 run_id=20260424_193253
2026-04-24 19:32:54 | DEBUG | a_stock | 历史K远程成功 code=sh000001 source=sina_history rows=180
2026-04-24 19:32:56 | DEBUG | a_stock | 历史K远程成功 code=sz399006 source=sina_history rows=180
2026-04-24 19:32:56 | INFO | a_stock | 使用股票池缓存：95 只
2026-04-24 19:32:57 | DEBUG | a_stock | 历史K远程成功 code=000338 source=tencent rows=1
2026-04-24 19:32:58 | DEBUG | a_stock | 历史K远程成功 code=000063 source=tencent rows=1
2026-04-24 19:32:59 | DEBUG | a_stock | 历史K远程成功 code=000070 source=tencent rows=1
2026-04-24 19:33:00 | DEBUG | a_stock | 历史K远程成功 code=000426 source=tencent rows=1
2026-04-24 19:33:01 | DEBUG | a_stock | 历史K远程成功 code=000333 source=tencent rows=1
2026-04-24 19:33:02 | DEBUG | a_stock | 历史K远程成功 code=000021 source=tencent rows=1
2026-04-24 19:33:03 | DEBUG | a_stock | 历史K远程成功 code=000155 source=tencent rows=1
2026-04-24 19:33:04 | DEBUG | a_stock | 历史K远程成功 code=000062 source=tencent rows=1
2026-04-24 19:33:05 | DEBUG | a_stock | 历史K远程成功 code=000066 source=tencent rows=1
2026-04-24 19:33:06 | DEBUG | a_stock | 历史K远程成功 code=000100 source=tencent rows=1
2026-04-24 19:33:07 | DEBUG | a_stock | 历史K远程成功 code=000408 source=tencent rows=1
2026-04-24 19:33:08 | DEBUG | a_stock | 历史K远程成功 code=000425 source=tencent rows=1
2026-04-24 19:33:09 | DEBUG | a_stock | 历史K远程成功 code=000065 source=tencent rows=1
2026-04-24 19:33:10 | DEBUG | a_stock | 历史K远程成功 code=000078 source=tencent rows=1
2026-04-24 19:33:11 | DEBUG | a_stock | 历史K远程成功 code=000001 source=tencent rows=1
2026-04-24 19:33:12 | DEBUG | a_stock | 历史K远程成功 code=000400 source=tencent rows=1
2026-04-24 19:33:13 | DEBUG | a_stock | 历史K远程成功 code=000422 source=tencent rows=1
2026-04-24 19:33:14 | DEBUG | a_stock | 历史K远程成功 code=000034 source=tencent rows=1
2026-04-24 19:33:15 | DEBUG | a_stock | 历史K远程成功 code=000157 source=tencent rows=1
2026-04-24 19:33:16 | DEBUG | a_stock | 历史K远程成功 code=000510 source=tencent rows=1
2026-04-24 19:33:17 | DEBUG | a_stock | 历史K远程成功 code=000506 source=tencent rows=1
2026-04-24 19:33:18 | DEBUG | a_stock | 历史K远程成功 code=000420 source=tencent rows=1
2026-04-24 19:33:19 | DEBUG | a_stock | 历史K远程成功 code=000039 source=tencent rows=1
2026-04-24 19:33:20 | DEBUG | a_stock | 历史K远程成功 code=000060 source=tencent rows=1
2026-04-24 19:33:21 | DEBUG | a_stock | 历史K远程成功 code=000037 source=tencent rows=1
2026-04-24 19:33:22 | DEBUG | a_stock | 历史K远程成功 code=000158 source=tencent rows=1
2026-04-24 19:33:23 | DEBUG | a_stock | 历史K远程成功 code=000049 source=tencent rows=1
2026-04-24 19:33:24 | DEBUG | a_stock | 历史K远程成功 code=000032 source=tencent rows=1
2026-04-24 19:33:25 | DEBUG | a_stock | 历史K远程成功 code=000027 source=tencent rows=1
2026-04-24 19:33:26 | DEBUG | a_stock | 历史K远程成功 code=000423 source=tencent rows=1
2026-04-24 19:33:27 | DEBUG | a_stock | 历史K远程成功 code=000519 source=tencent rows=1
2026-04-24 19:33:28 | DEBUG | a_stock | 历史K远程成功 code=000035 source=tencent rows=1
2026-04-24 19:33:29 | DEBUG | a_stock | 历史K远程成功 code=000002 source=tencent rows=1
2026-04-24 19:33:30 | DEBUG | a_stock | 历史K远程成功 code=000048 source=tencent rows=1
2026-04-24 19:33:31 | DEBUG | a_stock | 历史K远程成功 code=000166 source=tencent rows=1
2026-04-24 19:33:32 | DEBUG | a_stock | 历史K远程成功 code=000415 source=tencent rows=1
2026-04-24 19:33:33 | DEBUG | a_stock | 历史K远程成功 code=000301 source=tencent rows=1
2026-04-24 19:33:34 | DEBUG | a_stock | 历史K远程成功 code=000006 source=tencent rows=1
2026-04-24 19:33:35 | DEBUG | a_stock | 历史K远程成功 code=000026 source=tencent rows=1
2026-04-24 19:33:36 | DEBUG | a_stock | 历史K远程成功 code=000516 source=tencent rows=1
2026-04-24 19:33:37 | DEBUG | a_stock | 历史K远程成功 code=000036 source=tencent rows=1
2026-04-24 19:33:38 | DEBUG | a_stock | 历史K远程成功 code=000019 source=tencent rows=1
2026-04-24 19:33:39 | DEBUG | a_stock | 历史K远程成功 code=000513 source=tencent rows=1
2026-04-24 19:33:40 | DEBUG | a_stock | 历史K远程成功 code=000009 source=tencent rows=1
2026-04-24 19:33:41 | DEBUG | a_stock | 历史K远程成功 code=000045 source=tencent rows=1
2026-04-24 19:33:42 | DEBUG | a_stock | 历史K远程成功 code=000030 source=tencent rows=1
2026-04-24 19:33:43 | DEBUG | a_stock | 历史K远程成功 code=000404 source=tencent rows=1
2026-04-24 19:33:44 | DEBUG | a_stock | 历史K远程成功 code=000099 source=tencent rows=1
2026-04-24 19:33:45 | DEBUG | a_stock | 历史K远程成功 code=000028 source=tencent rows=1
