date,open,close,high,low,volume
2024-03-29,64.58,64.22,65.73,63.66,254689.0
2024-04-01,64.5,66.22,66.28,64.1,327712.0
2024-04-02,66.0,66.25,66.53,65.75,226536.0
2024-04-03,66.2,66.73,66.9,65.98,206265.0
2024-04-08,66.72,65.32,66.85,64.67,324345.0
2024-04-09,65.0,65.04,65.6,64.82,194783.0
2024-04-10,64.87,65.17,66.2,64.56,180820.0
2024-04-11,64.95,65.07,65.95,64.61,190048.0
2024-04-12,64.99,64.89,65.6,64.58,217344.0
2024-04-15,64.89,66.84,67.0,64.71,317837.0
2024-04-16,66.78,68.31,68.77,66.57,391914.0
2024-04-17,68.0,68.58,68.8,66.98,245496.0
2024-04-18,68.58,70.0,71.33,68.38,395421.0
2024-04-19,69.43,70.0,70.58,69.43,288123.0
2024-04-22,70.2,69.98,71.19,69.5,289438.0
2024-04-23,69.83,68.39,70.0,67.59,382179.0
2024-04-24,68.34,67.9,68.64,66.75,307830.0
2024-04-25,67.13,68.24,68.56,67.13,220333.0
2024-04-26,68.25,68.37,68.65,67.42,242257.0
2024-04-29,68.3,68.2,68.88,67.23,332264.0
2024-04-30,66.84,69.78,71.15,66.8,571318.0
2024-05-06,70.5,71.01,71.46,69.65,461799.0
2024-05-07,70.81,71.1,72.33,70.62,304315.0
2024-05-08,70.5,70.75,71.34,70.39,176620.0
2024-05-09,71.0,71.85,72.34,70.62,285718.0
2024-05-10,72.2,71.88,72.33,71.34,224879.0
2024-05-13,71.88,72.71,72.99,70.7,271674.0
2024-05-14,72.68,70.84,72.89,70.2,399236.0
2024-05-15,68.5,69.76,70.1,68.11,301895.0
2024-05-16,69.76,69.34,69.8,68.8,246004.0
2024-05-17,68.78,68.03,69.5,66.52,418483.0
2024-05-20,67.01,66.57,67.88,66.21,426430.0
2024-05-21,66.27,66.55,67.3,66.2,243588.0
2024-05-22,66.34,65.41,66.54,65.31,261052.0
2024-05-23,65.4,65.74,66.19,65.0,240961.0
2024-05-24,65.4,66.62,66.98,65.1,259270.0
2024-05-27,66.5,67.59,68.28,65.54,305462.0
2024-05-28,67.6,67.03,67.78,66.5,191737.0
2024-05-29,66.6,65.85,67.2,65.5,241321.0
2024-05-30,65.71,65.18,66.19,65.14,193586.0
2024-05-31,65.19,64.76,65.57,64.55,261294.0
2024-06-03,64.88,65.02,66.3,64.27,357556.0
2024-06-04,64.99,64.68,64.99,63.4,306212.0
2024-06-05,64.55,63.92,65.2,63.8,283319.0
2024-06-06,63.8,65.76,66.03,63.8,436037.0
2024-06-07,65.2,65.16,65.45,63.71,400646.0
2024-06-11,64.5,65.0,66.5,64.18,336897.0
2024-06-12,64.84,65.16,65.74,64.53,257072.0
2024-06-13,65.31,63.92,65.45,63.66,274850.0
2024-06-14,63.51,65.61,65.76,63.5,379244.0
