date,open,close,high,low,volume
2024-03-29,190.3,190.16,195.0,189.38,164648.0
2024-04-01,194.0,197.84,199.83,193.4,275132.0
2024-04-02,198.1,199.7,201.57,196.5,240381.0
2024-04-03,198.94,197.65,198.95,194.6,234890.0
2024-04-08,197.65,194.6,199.9,194.6,189576.0
2024-04-09,194.0,196.0,196.5,193.71,145700.0
2024-04-10,194.11,192.74,195.0,191.53,179615.0
2024-04-11,190.81,192.6,194.3,187.0,192954.0
2024-04-12,191.0,188.39,191.98,188.01,166256.0
2024-04-15,193.85,197.14,197.14,191.86,305483.0
2024-04-16,199.0,197.15,199.3,194.92,276231.0
2024-04-17,195.35,195.99,196.93,193.02,216192.0
2024-04-18,193.97,195.56,197.45,191.39,195396.0
2024-04-19,193.06,190.8,194.46,189.51,184915.0
2024-04-22,192.8,190.6,194.89,190.57,150987.0
2024-04-23,191.13,189.93,192.5,187.88,111138.0
2024-04-24,192.0,189.6,192.4,186.4,151543.0
2024-04-25,188.57,193.2,194.35,187.89,164183.0
2024-04-26,192.01,198.48,198.88,192.01,224881.0
2024-04-29,200.57,209.63,213.5,200.0,438630.0
2024-04-30,205.76,202.6,205.76,202.0,214330.0
2024-05-06,211.0,206.98,211.7,206.03,270999.0
2024-05-07,206.18,206.88,207.88,205.15,131799.0
2024-05-08,207.0,203.23,207.8,203.11,124330.0
2024-05-09,206.27,209.4,210.51,206.2,219216.0
2024-05-10,209.4,203.5,209.4,203.0,228011.0
2024-05-13,196.3,199.35,201.77,195.51,221967.0
2024-05-14,200.6,199.01,201.2,198.12,106947.0
2024-05-15,199.01,197.89,203.33,197.5,130741.0
2024-05-16,198.8,199.67,201.64,196.98,153782.0
2024-05-17,199.7,203.0,203.0,198.58,184962.0
2024-05-20,207.2,203.45,207.88,203.01,199172.0
2024-05-21,203.67,201.56,204.58,200.56,122964.0
2024-05-22,202.5,204.89,207.0,201.6,252366.0
2024-05-23,204.2,204.34,205.65,203.13,176548.0
2024-05-24,202.8,200.98,204.86,200.79,155107.0
2024-05-27,201.8,200.01,201.8,198.5,163618.0
2024-05-28,199.46,197.8,200.58,197.6,126900.0
2024-05-29,198.01,198.79,202.5,197.8,133388.0
2024-05-30,199.05,199.35,200.88,197.66,127840.0
2024-05-31,199.35,197.76,202.25,197.76,138086.0
2024-06-03,197.76,202.5,203.6,195.8,187181.0
2024-06-04,201.99,205.97,207.24,201.0,177149.0
2024-06-05,205.7,204.12,207.85,204.01,117774.0
2024-06-06,203.98,204.79,206.88,202.2,124126.0
2024-06-07,198.86,193.2,202.45,187.59,516868.0
2024-06-11,189.0,188.77,192.0,184.61,420724.0
2024-06-12,186.0,185.6,189.76,185.48,203104.0
2024-06-13,187.0,185.18,190.01,185.12,221176.0
2024-06-14,186.1,184.89,186.58,178.58,371849.0
2024-06-17,182.55,188.2,190.5,182.31,269293.0
2024-06-18,188.15,190.33,190.47,187.02,156529.0
2024-06-19,190.6,189.01,190.7,187.68,107540.0
2024-06-20,189.99,187.99,190.11,187.1,115624.0
2024-06-21,188.31,185.16,188.96,182.37,184677.0
2024-06-24,183.0,186.98,187.99,183.0,180355.0
2024-06-25,187.0,186.32,189.2,185.6,144144.0
2024-06-26,185.12,185.51,186.63,183.2,104814.0
2024-06-27,185.51,185.0,185.88,183.01,126536.0
2024-06-28,183.8,180.03,185.48,179.84,194205.0
2024-07-01,179.19,176.07,179.28,171.17,269957.0
2024-07-02,173.85,176.08,176.96,172.11,144156.0
2024-07-03,177.0,179.5,182.5,176.31,162053.0
2024-07-04,180.39,179.6,182.99,179.2,118346.0
2024-07-05,181.0,177.62,182.49,176.5,135247.0
2024-07-08,176.01,175.91,178.37,175.01,108064.0
