date,open,close,high,low,volume
2024-03-29,1701.64,1702.9,1710.99,1698.1,13457.0
2024-04-01,1709.99,1721.33,1734.0,1708.7,27131.0
2024-04-02,1722.0,1713.99,1724.99,1705.05,25449.0
2024-04-03,1734.0,1715.11,1739.44,1710.02,29046.0
2024-04-08,1695.0,1666.66,1696.0,1662.6,59167.0
2024-04-09,1660.67,1662.22,1673.0,1658.45,25590.0
2024-04-10,1662.27,1647.98,1664.99,1645.0,27631.0
2024-04-11,1640.11,1648.0,1650.0,1634.69,22766.0
2024-04-12,1651.0,1634.03,1664.0,1634.03,26744.0
2024-04-15,1635.01,1672.98,1675.61,1634.98,35818.0
2024-04-16,1665.49,1670.0,1679.56,1659.0,26266.0
2024-04-17,1668.0,1667.0,1675.2,1658.0,24819.0
2024-04-18,1659.01,1670.78,1682.98,1658.18,26568.0
2024-04-19,1660.78,1646.64,1668.5,1641.28,23500.0
2024-04-22,1654.0,1675.06,1678.88,1645.0,29951.0
2024-04-23,1675.0,1692.28,1695.0,1675.0,24980.0
2024-04-24,1696.98,1693.6,1699.91,1683.33,17086.0
2024-04-25,1690.33,1693.04,1695.6,1682.25,14476.0
2024-04-26,1694.0,1709.43,1714.0,1693.98,30996.0
2024-04-29,1696.95,1704.0,1728.0,1693.82,41332.0
2024-04-30,1705.01,1705.0,1729.88,1705.0,30760.0
2024-05-06,1733.97,1760.2,1765.0,1727.0,59909.0
2024-05-07,1765.79,1770.0,1777.8,1756.68,24925.0
2024-05-08,1769.69,1763.97,1769.97,1755.67,14769.0
2024-05-09,1758.0,1756.0,1764.98,1750.0,22387.0
2024-05-10,1761.1,1738.98,1767.88,1733.99,26207.0
2024-05-13,1732.02,1706.0,1732.66,1701.22,37662.0
2024-05-14,1705.99,1701.98,1713.27,1700.01,21274.0
2024-05-15,1702.58,1700.0,1708.0,1698.59,15739.0
2024-05-16,1705.0,1704.5,1709.88,1690.0,29680.0
2024-05-17,1700.01,1715.0,1716.58,1700.0,28924.0
