date,open,close,high,low,volume
2024-03-29,208.43,203.06,208.52,201.17,141381.0
2024-04-01,203.06,212.01,212.98,203.06,142909.0
2024-04-02,212.01,212.34,217.3,211.8,107585.0
2024-04-03,210.5,208.16,211.11,207.55,83634.0
2024-04-08,207.0,212.0,215.0,206.39,128227.0
2024-04-09,211.75,212.08,214.99,211.35,84208.0
2024-04-10,214.3,211.84,214.5,210.0,72411.0
2024-04-11,209.0,212.98,215.44,207.8,100854.0
2024-04-12,212.0,210.6,217.19,209.54,114918.0
2024-04-15,210.0,213.62,215.5,209.09,113332.0
2024-04-16,212.4,211.63,215.35,210.71,98323.0
2024-04-17,211.0,213.0,213.18,209.6,96922.0
2024-04-18,212.0,213.6,216.5,209.4,133998.0
2024-04-19,212.19,210.13,212.87,207.06,111770.0
2024-04-22,210.0,208.56,211.53,208.1,64695.0
2024-04-23,208.55,205.04,208.56,203.99,87300.0
2024-04-24,206.89,207.42,208.8,204.5,74979.0
2024-04-25,207.4,208.94,211.51,206.62,94684.0
2024-04-26,210.0,219.37,219.76,210.0,253454.0
2024-04-29,221.08,221.38,225.4,218.73,191676.0
2024-04-30,223.5,218.5,224.38,218.5,115560.0
2024-05-06,225.0,226.3,228.39,223.5,186779.0
2024-05-07,226.3,229.88,231.99,224.04,144190.0
2024-05-08,228.54,226.23,228.88,226.0,91132.0
2024-05-09,226.3,228.15,228.4,226.15,79007.0
2024-05-10,227.0,227.8,229.52,226.0,80613.0
2024-05-13,225.2,225.7,227.36,222.58,82481.0
2024-05-14,225.71,224.91,227.57,224.11,62619.0
2024-05-15,224.5,219.14,226.0,218.3,99734.0
2024-05-16,219.15,218.31,219.96,216.61,87157.0
2024-05-17,219.39,219.59,220.33,217.66,71487.0
2024-05-20,218.48,222.87,224.0,218.48,75959.0
2024-05-21,221.98,218.78,221.99,217.42,84080.0
2024-05-22,218.19,216.92,219.5,215.16,88398.0
2024-05-23,215.85,214.95,215.85,213.51,62287.0
2024-05-24,213.98,209.3,214.0,208.8,102876.0
2024-05-27,210.0,208.35,210.8,206.6,76046.0
2024-05-28,208.8,207.38,208.91,206.58,60946.0
2024-05-29,211.0,224.7,226.0,210.99,302648.0
2024-05-30,224.42,227.86,229.38,223.9,223792.0
2024-05-31,228.8,229.02,231.6,226.99,185430.0
2024-06-03,229.01,237.1,240.48,225.99,270146.0
2024-06-04,236.9,238.15,239.8,235.95,157429.0
2024-06-05,238.48,240.79,246.3,238.48,194434.0
2024-06-06,241.2,238.5,243.8,237.5,175865.0
2024-06-07,239.03,235.5,241.39,232.13,182594.0
2024-06-11,234.63,244.63,246.0,234.33,221597.0
2024-06-12,241.63,242.9,247.55,241.63,187332.0
2024-06-13,248.8,252.99,258.28,248.11,292519.0
2024-06-14,251.48,253.05,253.93,246.53,202610.0
2024-06-17,252.0,257.21,259.87,250.87,208649.0
2024-06-18,255.6,255.64,257.3,253.0,128789.0
2024-06-19,256.0,254.0,258.0,253.41,99108.0
2024-06-20,252.88,251.5,253.77,249.3,116200.0
2024-06-21,251.99,250.67,254.37,247.81,116330.0
2024-06-24,250.0,249.94,253.98,247.78,108423.0
2024-06-25,252.0,254.01,258.74,250.36,195746.0
2024-06-26,252.0,252.72,254.3,249.38,111917.0
2024-06-27,251.02,249.5,252.36,248.42,82911.0
2024-06-28,248.0,250.25,252.13,246.88,92982.0
